,name,online_order,book_table,votes,location,cuisines,approx_cost(for two people),listed_in(type),type,rate
38775,5371,1,0,75,48,38,500.0,4,4,2.9
48440,1780,1,1,121,10,51,300.0,4,9,4.1
14698,2962,1,0,206,12,13,400.0,2,9,3.6
50303,1223,1,0,6,41,51,400.0,2,10,2.7
29630,773,1,0,192,28,24,300.0,2,7,4.1
28706,1624,1,0,121,26,41,400.0,4,9,3.9
9695,3395,1,1,561,23,38,800.0,2,4,3.8
27274,1702,1,0,21,13,11,250.0,2,9,3.1
35403,2712,1,0,62,21,51,400.0,2,9,3.6
17915,5574,1,0,71,19,24,400.0,2,7,4.0
42942,5877,0,0,26,45,25,500.0,2,8,3.8
7337,1007,1,0,373,36,51,300.0,2,9,3.8
44879,4614,1,0,77,22,8,400.0,2,6,3.3
27500,1523,1,0,475,30,51,600.0,2,4,3.9
47606,5021,1,0,67,37,24,900.0,2,7,4.1
24561,2312,1,0,27,1,34,200.0,2,10,3.1
49469,2604,0,0,23,54,51,200.0,2,9,3.9
28806,3303,1,0,21,32,46,300.0,4,9,3.6
25394,4506,1,0,20,24,39,500.0,2,6,3.1
30011,5924,1,0,16,29,51,500.0,2,3,3.6
11327,1777,1,0,16,29,51,200.0,4,9,3.5
32082,2728,0,0,674,30,51,1700.0,6,8,3.8
30300,1788,1,0,433,26,51,500.0,2,6,3.5
49378,2749,0,0,4,46,51,200.0,2,2,3.3
5848,1416,0,0,292,34,34,400.0,3,7,4.5
33785,1973,0,0,56,18,51,500.0,3,6,2.6
29232,1432,1,1,2572,29,51,1200.0,5,1,4.3
46996,3467,0,0,356,35,51,300.0,4,9,4.3
20670,339,0,0,97,23,51,650.0,2,4,3.1
40459,2109,0,1,2713,39,51,1200.0,5,8,4.5
46393,5367,1,0,590,43,51,600.0,2,4,3.4
51470,4454,1,0,9,54,51,400.0,4,9,3.3
16015,2821,1,0,117,18,51,900.0,2,4,3.9
33937,2007,0,1,375,27,51,1000.0,4,8,4.4
26385,1603,1,0,4,1,51,300.0,4,9,3.2
46108,887,0,1,962,19,51,1300.0,6,8,4.3
41000,3258,1,0,61,41,53,400.0,2,10,3.2
45919,2946,1,0,307,13,51,300.0,4,9,3.9
28324,339,0,0,1160,28,51,650.0,4,4,3.9
32502,3539,1,0,55,9,46,500.0,2,6,3.4
16637,919,1,0,111,5,25,600.0,2,7,4.1
1450,3656,1,0,9,2,55,300.0,2,9,3.4
24709,4032,1,0,214,24,51,700.0,4,4,3.7
14904,2047,1,0,21,19,51,300.0,2,8,3.7
48671,4430,0,0,14,49,54,150.0,4,9,3.7
8355,771,1,1,400,29,51,1200.0,1,8,4.1
34485,1143,1,0,47,9,51,200.0,4,9,3.4
27629,5498,1,0,175,18,20,450.0,2,6,3.1
29021,5484,1,0,73,9,20,600.0,4,4,2.7
32883,2770,1,0,54,9,6,250.0,2,2,3.4
17976,3093,1,0,13,19,38,400.0,2,6,3.4
6719,5066,0,0,120,34,51,1200.0,6,5,3.1
35410,5074,1,0,144,18,54,150.0,2,9,3.5
42600,3657,1,0,744,12,51,750.0,2,3,4.2
50276,2545,1,0,145,54,41,600.0,2,4,3.2
8084,1807,0,0,51,54,43,600.0,4,4,2.9
38311,3774,0,0,222,50,51,200.0,2,7,4.2
45804,5595,0,1,4239,19,51,1500.0,4,8,4.3
23861,949,1,1,559,24,51,1200.0,1,3,4.2
41056,4971,0,0,22,8,57,400.0,2,9,3.2
48330,5489,1,0,70,10,51,500.0,4,8,3.7
1181,4515,1,0,106,23,51,350.0,2,6,3.8
14905,5882,1,1,1913,37,51,2100.0,2,4,4.0
33635,6358,1,0,363,30,51,500.0,3,3,4.4
40669,5386,1,0,23,41,4,500.0,2,6,3.8
18998,1591,1,0,647,22,22,500.0,4,4,3.9
35313,806,1,0,12,9,51,500.0,2,9,3.3
2711,3233,1,1,197,21,51,1000.0,2,8,3.8
27099,3709,1,0,36,9,51,200.0,2,9,3.7
28384,6005,0,0,14704,29,51,900.0,4,8,4.7
35395,5195,1,0,12,23,51,200.0,2,9,3.6
6368,5209,0,0,75,11,54,150.0,4,9,3.9
20516,3707,0,0,4,9,51,300.0,2,9,3.1
41336,2060,1,0,11,54,51,300.0,2,8,3.5
30558,764,0,0,11,9,9,300.0,2,9,3.5
33943,5601,0,1,5015,29,51,1800.0,4,8,4.6
46977,3764,1,0,317,35,51,1200.0,4,4,4.1
28094,2625,1,0,8,9,28,150.0,2,9,3.4
45593,3902,0,0,9,41,51,200.0,3,9,3.4
37078,3217,0,0,6,29,20,250.0,4,9,3.5
13063,795,0,1,514,42,51,3200.0,4,8,4.4
6157,4086,1,1,450,10,38,1000.0,4,4,4.1
42046,2672,0,0,112,51,54,150.0,4,9,4.0
27922,5691,0,0,14,30,51,200.0,2,9,3.1
4697,3674,1,0,89,5,51,350.0,4,9,2.9
49542,297,0,0,281,46,51,400.0,3,8,4.2
50577,1330,1,0,2283,8,38,800.0,2,4,4.2
1096,1330,1,0,2350,23,38,800.0,2,4,4.2
40781,5781,0,1,62,36,51,1000.0,2,5,2.6
3637,2790,0,0,30,0,20,1000.0,4,1,3.1
21369,6291,1,0,0,23,51,700.0,4,9,3.8
30529,462,0,1,450,31,38,650.0,2,4,4.1
26965,2147,1,0,215,29,60,200.0,2,9,3.7
16876,1474,0,0,106,18,25,300.0,3,7,4.1
8798,2651,1,0,152,31,45,500.0,2,6,3.9
7598,5870,1,1,560,54,51,1000.0,2,4,4.2
37221,1431,1,0,289,2,51,400.0,4,9,4.2
50557,3525,1,0,38,54,41,400.0,2,10,3.5
18514,6294,1,0,78,19,26,400.0,3,7,4.3
23892,171,0,0,74,25,17,300.0,1,8,4.0
12878,4922,0,0,274,45,54,150.0,4,9,4.1
14790,842,1,0,90,16,51,650.0,2,10,4.0
38150,3347,1,1,864,44,51,1400.0,2,4,4.1
20316,3866,1,0,142,21,51,750.0,2,4,3.6
43546,2753,1,0,101,50,51,150.0,4,9,4.0
31193,1714,1,0,140,29,51,200.0,4,9,3.8
47213,239,0,0,10,47,32,900.0,6,8,3.4
37558,5793,0,1,580,30,51,1000.0,5,1,4.5
42370,527,1,0,985,19,51,1100.0,2,4,4.2
27965,695,0,0,4,32,51,500.0,2,6,3.2
21118,4693,1,0,142,21,44,550.0,4,4,4.0
24857,192,0,0,89,25,2,700.0,4,4,4.2
2145,4999,0,0,4,2,9,100.0,4,9,3.2
48899,6041,1,0,244,5,59,200.0,2,9,3.8
38768,2909,1,0,32,7,51,300.0,4,9,4.0
51201,145,0,0,40,54,40,800.0,4,4,3.5
4412,4151,0,0,68,46,38,250.0,2,9,3.5
27830,701,0,1,684,29,51,1400.0,2,4,4.5
27216,5045,1,0,76,29,51,500.0,2,9,3.8
17545,4928,1,1,217,13,51,1500.0,0,4,4.2
19808,4317,1,0,17,9,57,200.0,2,9,3.5
26360,3329,0,0,16,1,54,150.0,4,9,3.3
8770,3791,1,0,30,9,39,500.0,2,9,3.2
28485,4831,1,0,782,29,51,800.0,4,4,4.0
18758,404,1,0,69,19,51,750.0,4,4,4.0
13600,702,1,0,176,15,51,650.0,2,9,3.9
38025,5641,1,0,261,37,14,700.0,2,3,3.8
49267,3190,0,0,27,46,51,350.0,2,9,3.7
3249,2958,1,0,210,21,51,400.0,3,8,3.9
1168,4250,1,0,385,23,51,600.0,2,9,3.9
46060,3810,0,1,221,19,51,2000.0,5,8,4.4
17004,3135,1,0,47,18,51,500.0,4,3,3.8
2348,616,1,0,38,23,59,400.0,4,9,3.0
45940,1336,1,0,97,19,51,600.0,4,4,2.8
42392,2958,1,0,571,19,51,400.0,2,8,4.0
16618,1998,1,0,122,18,51,300.0,2,9,3.7
36964,5173,1,0,44,30,54,300.0,4,9,3.9
20580,3839,1,0,11,9,51,500.0,2,4,3.1
42757,3423,1,0,6,16,55,300.0,2,9,3.3
3963,182,1,0,370,5,51,550.0,2,4,3.9
4969,1933,1,1,3061,36,51,1500.0,6,5,4.4
42212,991,0,0,23,20,51,800.0,0,4,3.8
11889,5397,1,0,402,12,51,750.0,2,4,4.1
33652,562,0,0,66,30,34,250.0,3,7,3.0
48204,4447,1,1,772,34,51,1400.0,4,4,4.3
13401,3336,0,0,134,15,16,400.0,1,8,4.0
29295,4626,0,1,105,31,51,1000.0,0,4,4.3
10266,6019,1,1,496,23,51,700.0,3,4,4.1
1778,1254,0,0,25,23,51,400.0,2,9,3.0
44461,2893,1,0,365,39,51,900.0,4,3,3.9
45620,6299,0,1,433,40,51,2400.0,4,8,3.9
31765,3741,1,0,68,9,1,300.0,4,9,3.6
26387,631,0,0,12,41,51,400.0,4,9,3.5
28543,5016,1,0,267,31,51,650.0,4,4,3.8
49547,1056,1,0,28,46,4,400.0,3,0,3.6
4054,606,1,0,17,5,40,400.0,2,9,3.4
45780,526,0,0,6,51,51,300.0,4,9,3.2
15812,1034,1,1,720,18,51,950.0,1,3,4.1
25635,4010,0,0,13,25,51,700.0,2,4,3.4
31902,861,0,0,4,9,28,300.0,4,9,3.2
23830,2247,0,0,2800,23,51,1200.0,5,5,4.5
29312,2529,0,1,1470,29,51,800.0,1,3,4.3
6552,3444,1,0,74,16,38,300.0,4,9,3.7
44002,956,1,0,114,39,14,600.0,1,3,2.8
49566,5472,1,0,23,46,5,300.0,3,8,3.7
13073,2646,1,1,860,12,51,1000.0,4,8,4.3
2049,2017,1,0,13,2,40,600.0,4,4,3.4
13977,3315,1,0,12,15,24,250.0,3,7,3.8
13478,4246,1,0,120,15,53,750.0,2,9,3.2
36889,5490,0,0,227,30,14,450.0,4,3,2.8
38228,219,0,0,4,45,38,200.0,2,9,3.3
22150,6175,1,0,46,23,51,450.0,2,3,3.8
36657,1086,1,0,57,31,51,500.0,4,9,3.8
46965,5817,0,1,566,35,51,2500.0,4,8,4.2
44528,3483,1,0,281,39,13,500.0,4,9,3.9
43266,5569,0,0,643,50,51,1300.0,4,8,4.2
46021,2629,0,0,4,41,48,200.0,4,9,3.2
26293,2935,1,0,87,1,18,450.0,4,9,3.7
25828,1462,0,0,11,24,28,400.0,2,9,3.4
2020,1702,0,0,7,2,8,300.0,4,9,3.2
34850,778,1,0,28,9,51,400.0,1,3,3.7
11390,5759,0,0,27,21,19,300.0,4,9,3.8
30361,1676,1,0,33,52,40,600.0,2,9,3.5
30054,1810,1,0,34,31,51,650.0,2,4,3.4
34290,2102,1,0,95,26,38,150.0,4,9,3.7
49934,4157,1,0,4,5,38,300.0,4,9,3.2
49650,599,1,0,355,46,21,850.0,4,4,3.8
7947,6240,0,0,6,54,0,800.0,4,4,3.3
43558,2245,1,0,79,11,51,350.0,4,8,4.1
39107,1033,1,0,26,44,20,300.0,4,9,3.6
18039,5882,1,1,1907,37,51,2100.0,2,4,4.0
31869,6011,0,0,16,9,38,400.0,4,9,3.5
21114,4606,1,0,582,21,51,900.0,4,4,3.7
21380,206,0,0,30,55,51,400.0,4,9,3.0
48244,354,1,1,861,10,51,1400.0,4,4,4.2
26663,910,1,0,357,18,51,600.0,2,9,4.1
21575,3404,1,0,43,9,51,250.0,4,9,3.7
18137,1456,1,0,59,19,51,500.0,2,3,3.0
41432,4778,0,0,8,36,48,600.0,3,4,3.5
17685,4285,1,0,1122,13,51,650.0,2,6,4.1
23203,1526,0,0,59,23,49,500.0,4,4,3.8
14375,2268,1,0,17,15,54,300.0,4,9,3.5
51295,2143,0,0,14,54,40,300.0,4,9,3.5
44747,1000,0,0,6,51,14,500.0,1,3,3.4
22393,1837,1,1,553,21,51,900.0,2,4,4.1
9947,4082,0,1,1388,29,51,1400.0,2,8,3.9
761,2913,0,0,42,0,51,300.0,4,9,4.0
16590,5394,1,0,4,18,51,400.0,2,10,3.2
44734,5716,0,0,120,13,51,1700.0,0,5,3.9
18016,4953,1,0,243,19,38,850.0,2,4,3.7
13066,3695,0,1,339,42,51,2500.0,4,8,4.1
21174,845,0,0,424,21,54,100.0,4,9,4.2
18710,1020,1,0,391,19,51,500.0,4,3,4.2
34247,4133,1,0,10,31,51,300.0,4,9,3.5
46705,3647,0,0,12,35,24,100.0,3,8,3.7
22127,1862,1,0,54,21,51,400.0,2,9,3.7
14630,5269,1,0,153,53,51,300.0,1,3,4.1
5238,6224,1,0,22,52,18,1000.0,2,4,2.5
37474,264,0,0,4,55,8,300.0,4,9,3.3
4127,4273,1,0,57,5,34,300.0,2,7,4.0
7281,1195,0,0,8,54,37,200.0,2,8,3.4
49603,919,1,0,111,5,25,600.0,3,7,4.1
35545,573,1,0,65,30,51,350.0,2,9,3.4
44255,4611,0,0,14,39,38,200.0,2,9,3.3
237,2297,0,0,148,3,51,150.0,2,9,3.8
17652,2946,1,0,302,13,51,300.0,2,9,3.9
23318,5475,1,0,217,23,38,450.0,4,9,3.8
25550,3749,0,1,737,25,51,800.0,2,5,4.1
13594,1222,1,0,101,15,51,600.0,2,8,3.8
33099,2893,1,0,992,30,51,600.0,2,3,4.1
6281,4099,0,0,14,44,51,800.0,4,1,3.5
45193,4415,1,0,20,36,51,250.0,2,10,3.4
43884,4503,0,1,110,52,40,1400.0,5,1,3.8
8785,490,1,0,41,9,51,600.0,2,3,3.6
44810,5137,1,0,234,22,51,600.0,2,4,3.9
20121,4434,1,0,20,21,7,250.0,2,9,3.6
31033,1095,0,0,6,9,3,500.0,3,0,3.4
10625,764,0,0,11,9,9,300.0,4,9,3.5
7082,6333,1,0,34,54,38,500.0,2,6,3.3
2270,3514,1,1,347,23,51,1000.0,4,4,4.0
46581,1062,0,0,16,4,24,300.0,2,10,3.3
35043,6149,1,0,27,9,51,400.0,2,9,3.7
16728,2845,1,0,6,18,55,250.0,2,9,3.1
15734,4711,0,0,4,52,51,300.0,4,9,3.1
3379,5291,1,0,177,3,51,500.0,4,9,3.8
11226,1337,1,0,59,23,21,650.0,4,4,3.0
13072,536,1,1,475,12,51,1700.0,4,4,4.2
46709,5174,1,0,27,35,51,250.0,3,8,3.7
31889,4952,0,0,67,9,40,400.0,4,9,3.8
8668,3746,1,0,18,9,51,350.0,2,9,3.6
42625,3495,1,0,74,13,30,500.0,2,9,3.1
36655,3360,0,0,68,31,36,550.0,4,8,3.6
33637,1113,1,1,603,30,51,1100.0,3,4,4.1
33474,3435,0,0,30,26,35,350.0,2,9,3.6
274,1333,1,0,237,0,51,200.0,2,9,3.7
11954,1089,0,0,53,12,51,400.0,2,9,4.0
32019,5528,1,0,130,26,23,1200.0,5,5,3.7
6637,2568,0,0,617,37,51,3000.0,5,8,3.8
15785,828,1,0,188,18,51,1200.0,0,4,4.5
16770,828,1,0,196,18,51,1200.0,2,4,4.5
19190,2115,0,1,170,40,51,1900.0,4,8,4.0
48784,5569,0,0,651,50,51,1300.0,5,8,4.2
5026,6372,1,1,91,12,51,1800.0,0,4,3.8
15460,2899,0,0,10,16,39,300.0,4,9,3.4
38299,5521,0,0,122,7,51,500.0,2,4,3.9
37880,200,1,0,43,42,51,900.0,2,4,3.7
5775,3790,1,0,4,7,51,150.0,2,8,3.4
41392,3931,1,0,15,8,51,300.0,2,9,3.4
12582,949,1,1,2669,37,51,1200.0,4,3,4.3
2302,1512,1,0,42,23,58,450.0,4,4,3.7
5266,1360,1,0,43,52,51,150.0,2,2,3.5
45316,152,0,1,19,19,51,800.0,2,4,3.7
29112,6320,0,0,7,13,51,250.0,4,9,3.4
35306,602,1,0,189,29,24,400.0,2,7,4.8
7701,4263,1,0,41,41,27,300.0,3,10,4.5
19236,1504,0,0,5,40,51,600.0,4,8,3.0
30024,1197,1,0,166,29,28,300.0,2,9,4.2
30590,3489,0,0,15,31,60,300.0,2,6,3.6
43077,6211,1,0,88,44,51,400.0,3,8,3.9
51,4877,1,0,28,41,51,150.0,2,9,4.1
26553,798,1,0,67,32,51,400.0,1,3,4.0
6127,5744,1,1,218,50,51,850.0,4,4,4.4
9280,3317,1,0,9,23,39,600.0,2,10,3.3
26999,6063,1,0,76,26,51,300.0,2,9,4.0
34885,6294,1,0,565,9,26,400.0,2,7,4.5
29406,2144,1,1,411,18,47,750.0,2,4,3.4
42266,938,0,0,11,10,17,700.0,1,3,3.0
9960,3707,1,0,4,9,51,300.0,2,9,3.1
35335,2965,1,0,135,21,31,350.0,2,9,3.9
28817,5603,0,0,64,30,23,550.0,4,9,3.8
19132,6362,0,1,245,40,51,3500.0,4,8,4.1
36538,4895,1,0,9,55,37,100.0,3,8,3.4
22187,562,1,0,25,21,34,250.0,2,7,3.6
17981,6203,0,0,583,19,16,700.0,2,3,4.2
23722,4619,0,0,4,33,51,800.0,4,5,3.3
25343,2213,1,0,4,41,51,300.0,2,6,3.3
45166,3966,0,0,6,14,20,200.0,2,9,3.0
34704,4748,0,1,759,27,40,1200.0,5,1,4.1
19885,3034,1,0,25,2,31,100.0,2,10,3.1
38845,5320,0,0,67,45,54,500.0,4,4,3.8
13612,1076,1,0,36,15,4,600.0,2,0,3.4
14100,3521,0,1,49,15,51,1500.0,4,8,3.5
8368,6290,1,0,90,29,15,600.0,1,3,4.1
22067,5621,1,0,18,23,51,300.0,2,8,3.2
4624,96,1,0,11,5,51,900.0,4,4,3.7
5881,5616,1,0,29,52,4,300.0,3,0,3.7
16726,3262,1,0,4,18,53,600.0,2,8,3.1
33246,2050,0,0,20,13,4,600.0,2,8,3.7
47586,2462,1,0,17,52,51,300.0,2,9,3.7
20019,2768,1,0,11,21,28,200.0,2,9,3.5
14516,318,0,0,5,15,54,250.0,4,9,3.3
2028,5431,0,0,90,2,40,750.0,4,4,2.2
4632,1257,1,0,48,5,51,400.0,4,8,3.7
37925,1340,1,0,7568,10,51,1500.0,2,8,4.3
4696,4531,0,0,8,5,31,150.0,4,8,3.1
24760,5082,0,0,9,24,49,400.0,4,9,3.1
49297,2349,0,0,18,46,51,250.0,2,9,3.6
51471,5445,1,0,24,54,51,700.0,4,8,2.7
42101,3032,1,0,37,8,51,150.0,4,9,3.6
26609,3255,0,0,46,26,15,600.0,1,3,3.7
24228,5138,1,0,120,25,51,150.0,2,8,4.0
50055,2554,1,0,4,5,8,450.0,4,4,3.4
23208,705,1,0,85,23,51,300.0,4,9,3.9
13138,400,1,0,9,53,51,300.0,4,8,3.2
46120,4203,0,1,1096,19,32,1100.0,6,8,4.2
13475,2557,1,0,17,15,9,300.0,2,10,2.7
1952,1335,1,0,532,2,51,800.0,4,4,4.0
10447,5591,0,0,76,9,51,600.0,4,4,4.4
45392,5437,1,0,6,13,41,400.0,2,6,3.5
26196,1598,0,0,52,24,19,200.0,4,8,3.9
18920,1147,0,0,30,19,54,200.0,4,9,3.8
10200,6201,1,0,48,9,26,300.0,3,8,4.0
39032,2351,0,0,7,7,38,150.0,4,9,3.1
47802,3148,0,0,1469,37,51,450.0,2,8,4.0
4608,5260,0,0,38,5,16,700.0,4,8,3.9
36512,1447,0,0,18,28,24,850.0,3,10,3.8
17565,5884,1,0,1852,19,15,800.0,1,3,4.2
11298,1546,1,0,13,9,49,200.0,4,9,3.5
12589,2199,1,1,2840,44,51,800.0,4,8,4.2
24024,1959,1,0,88,24,51,400.0,2,9,3.8
9985,2541,0,0,118,21,51,800.0,2,4,3.9
12872,2971,0,0,358,45,39,400.0,4,9,4.1
12114,3105,1,0,66,19,51,200.0,2,9,3.8
14533,1584,1,0,60,15,38,500.0,4,9,3.6
18798,2661,1,0,28,19,51,600.0,4,3,3.7
10838,2205,0,0,17,9,40,400.0,4,9,3.1
4057,5274,1,0,228,18,27,500.0,2,7,3.9
13042,3675,1,0,46,52,38,300.0,4,9,3.2
1489,6154,1,0,4,23,51,300.0,2,9,3.2
36431,4563,1,1,517,29,51,800.0,3,3,4.2
9380,3737,1,0,200,23,51,400.0,2,9,3.9
6010,96,0,0,15,7,51,900.0,4,8,3.5
31817,1536,0,0,53,9,51,600.0,4,4,3.1
35142,5200,1,0,38,21,54,300.0,2,9,3.6
1156,3483,1,0,256,2,13,500.0,2,9,4.0
37315,765,0,0,6,9,9,300.0,4,9,3.3
16322,2851,0,0,8,14,51,250.0,2,6,3.4
46685,1436,0,0,7,4,24,100.0,3,7,3.3
31061,5316,1,1,3467,29,51,1300.0,4,4,4.5
17178,3483,1,0,510,18,13,500.0,4,9,3.8
42095,2940,0,0,4,41,51,300.0,4,9,3.2
48466,2378,0,0,76,37,54,200.0,4,9,3.9
5388,5626,1,0,50,7,58,350.0,2,9,2.9
29825,2402,1,0,57,31,51,700.0,2,4,3.8
43845,520,0,1,2233,44,51,1700.0,5,8,4.3
48918,2559,1,0,52,46,11,600.0,2,9,3.4
33760,4889,0,0,9,31,51,150.0,3,8,3.3
49390,5370,1,1,228,36,51,750.0,2,4,3.9
8577,4092,1,0,25,23,7,200.0,2,2,4.0
37950,5614,1,0,4,48,51,300.0,2,8,3.2
8474,1069,1,0,70,2,24,350.0,2,7,3.9
40637,5291,1,0,40,36,51,500.0,2,9,3.6
13100,2400,1,0,24,53,40,450.0,4,4,3.5
615,1530,0,0,98,0,40,800.0,4,1,3.0
6691,1102,0,1,284,50,51,1200.0,6,8,4.3
34969,2017,1,0,25,2,40,600.0,2,4,3.4
49023,6279,1,0,19,46,51,600.0,2,6,3.6
6219,4237,1,1,198,37,51,1600.0,4,4,3.8
41239,5757,1,0,26,54,51,400.0,2,10,3.6
6634,2051,0,0,38,45,51,2000.0,5,1,4.2
51473,5106,1,0,4,54,51,500.0,4,9,3.2
48156,4434,1,0,25,44,7,250.0,4,9,2.9
39427,1229,1,0,19,41,40,700.0,0,4,3.4
23591,935,1,1,1247,21,51,1000.0,4,4,4.3
41557,5295,0,0,395,36,51,500.0,4,4,4.0
29048,2243,1,0,61,9,51,350.0,4,9,3.7
43944,3203,1,0,1219,7,51,2000.0,6,1,4.1
1644,4113,1,0,243,23,12,450.0,2,4,3.7
17380,3511,1,1,427,15,51,900.0,4,4,3.2
51109,305,1,0,112,54,51,700.0,4,4,4.0
35415,354,1,0,845,30,51,700.0,2,4,4.1
33360,3359,1,0,4,2,51,400.0,2,9,3.3
5284,1621,1,1,96,7,51,1300.0,2,5,3.9
16577,3260,1,0,27,18,38,500.0,2,6,3.0
43763,275,0,0,231,19,11,350.0,4,9,2.7
46451,3740,1,0,8,53,54,350.0,2,9,3.3
3051,6077,1,0,40,3,51,600.0,2,4,3.9
8297,5814,0,0,43,23,51,1000.0,0,4,2.7
10258,6242,0,0,12,9,3,300.0,3,0,3.5
46551,1853,1,0,4,41,51,200.0,2,10,3.3
42911,3558,0,0,66,7,33,200.0,2,7,3.9
30904,3164,1,0,16,29,51,300.0,3,2,3.5
21663,4951,0,0,5,9,38,400.0,4,9,3.3
18313,3961,1,0,6,11,14,400.0,2,3,3.3
35885,3990,1,0,4,32,51,200.0,2,2,3.3
1434,4707,1,0,47,23,51,400.0,2,6,2.9
10420,711,1,0,295,9,51,700.0,4,4,4.1
32044,417,1,1,2244,29,51,1500.0,6,5,4.9
50177,5215,1,0,16,54,51,300.0,2,9,3.8
12180,2462,1,0,17,52,51,300.0,2,9,3.7
26547,1049,0,0,4,28,51,600.0,1,3,3.2
39729,4394,1,0,9,43,51,450.0,2,9,3.2
30511,3728,1,0,172,29,49,550.0,2,4,3.8
32425,4103,1,0,395,31,38,400.0,2,9,3.3
5846,2123,1,0,69,34,27,300.0,3,9,4.4
29484,2620,1,0,343,9,51,450.0,2,10,2.9
51263,6069,0,0,32,54,32,2000.0,4,8,3.7
14907,3483,1,0,184,7,13,500.0,2,9,3.7
41844,4290,1,0,47,36,51,300.0,4,9,3.5
46153,5799,0,0,55,41,45,1400.0,0,4,3.7
6687,3349,1,1,1394,10,19,1700.0,6,5,4.5
47254,5953,0,0,31,48,51,1000.0,0,4,2.9
14209,4214,0,0,11,15,54,700.0,4,4,3.4
48296,4767,0,0,190,50,32,600.0,4,1,3.9
30944,419,1,0,25,14,51,200.0,3,2,3.7
7971,4413,1,0,15,36,55,450.0,4,9,3.5
10299,5274,1,0,242,23,27,500.0,3,7,3.9
43268,5324,0,1,1341,34,51,2100.0,4,5,4.1
32741,5834,1,0,483,28,51,800.0,2,4,3.7
4966,4742,1,0,1193,46,51,1500.0,6,8,4.6
44733,4928,1,1,217,13,51,1500.0,0,4,4.2
46648,5379,0,0,4,43,5,500.0,3,8,3.3
38029,3495,1,0,4,55,30,500.0,2,9,3.2
27814,627,1,0,1901,29,24,400.0,2,7,4.3
30608,3513,0,0,115,9,51,1000.0,2,4,4.0
42635,4100,1,0,55,53,51,400.0,2,9,2.8
30561,537,0,0,73,30,51,250.0,2,8,3.7
20753,2370,0,0,14,9,51,300.0,2,9,3.5
19189,4943,0,0,39,40,38,300.0,4,8,3.8
41231,1991,1,0,72,54,38,450.0,2,9,3.7
43538,285,1,0,114,52,38,150.0,4,9,3.9
35603,5024,1,0,4,9,51,100.0,2,2,3.1
33002,1347,1,0,450,18,41,550.0,2,4,3.9
8850,6048,1,0,42,9,51,250.0,2,9,2.9
45537,292,0,0,38,51,51,200.0,3,9,3.7
44223,328,0,0,12,39,51,300.0,2,3,3.1
11622,4973,1,0,569,52,51,700.0,1,3,4.3
197,3323,1,0,14,0,54,300.0,2,9,3.4
49754,4850,1,0,66,46,38,300.0,4,9,3.7
37325,3060,1,0,36,26,36,300.0,4,9,3.8
9865,3536,0,0,11,29,51,500.0,2,6,3.2
14950,6269,1,0,461,10,51,700.0,2,3,4.1
23342,3904,1,0,47,23,58,300.0,4,9,3.5
19753,6213,1,0,53,29,26,400.0,2,7,4.2
34689,1729,0,1,115,29,51,1500.0,5,8,4.4
21942,3410,1,0,380,23,10,750.0,2,4,4.2
6186,1789,1,0,121,34,51,1000.0,4,5,4.2
35630,778,1,0,28,9,51,400.0,2,3,3.7
49477,4653,0,0,8,5,57,300.0,2,8,3.3
32579,3355,1,0,43,18,51,400.0,2,9,3.8
19985,5687,1,0,43,23,40,500.0,2,9,3.7
17363,5679,1,1,4108,46,51,1400.0,4,5,4.3
15878,2282,1,0,54,6,51,500.0,2,6,3.1
34785,6358,1,0,364,30,51,500.0,1,3,4.4
48583,2646,1,1,864,12,51,1000.0,4,8,4.2
20282,228,1,0,73,3,51,300.0,2,0,4.0
45343,5019,1,0,22,40,51,300.0,2,2,3.7
37802,1237,1,0,20,12,51,500.0,1,3,3.5
6049,2543,0,0,1348,45,12,550.0,4,4,4.3
7989,4725,1,0,83,36,0,600.0,4,4,3.6
29388,3685,1,0,469,9,51,400.0,2,9,4.2
14945,1980,1,0,113,37,51,1000.0,2,4,4.0
35366,5617,1,0,10,9,51,600.0,2,9,3.4
39318,5140,0,0,24,53,58,300.0,4,9,3.6
26569,5260,0,0,1358,31,16,700.0,1,3,4.2
6778,3664,1,1,130,8,51,600.0,1,3,4.0
8584,833,1,0,63,9,36,350.0,2,9,3.7
7360,3908,1,0,39,36,51,300.0,2,9,3.8
18324,1334,1,0,32,14,19,500.0,2,9,3.7
10369,3519,0,0,6,21,4,350.0,3,0,3.3
50547,3759,1,0,31,54,54,250.0,2,9,3.7
10371,3930,0,0,38,29,51,400.0,3,7,3.8
34400,3217,0,0,6,29,20,250.0,4,9,3.5
22318,26,1,0,7,23,51,300.0,2,10,2.9
23882,1133,1,0,97,24,51,350.0,1,3,3.9
1048,6149,1,0,27,9,51,400.0,2,9,3.7
7166,2340,1,0,204,36,39,600.0,2,8,3.7
48175,4510,0,0,988,37,51,3000.0,4,8,4.6
47181,5572,0,0,742,35,51,1500.0,5,8,4.1
19939,3648,1,0,34,23,37,150.0,2,9,3.2
9981,3787,0,0,12,41,48,200.0,2,6,3.5
20038,6174,1,0,55,23,51,200.0,2,9,3.7
45635,3034,0,0,8,40,31,150.0,4,8,3.4
23159,6344,1,1,1547,23,51,1000.0,4,4,4.1
38883,5096,0,0,52,45,51,1200.0,4,4,3.8
43468,5320,0,0,67,45,54,500.0,4,4,3.8
17151,2470,1,0,128,18,41,400.0,4,9,4.1
